BCODE,Basin_Name,Continent_,Area_km2,Pop_2007,PopDen2007,Pop_2012,PopDen2012,Pop_2015,PopDen2015,Pop_2020,PopDen2020,Dams_Exist,Dam_Plnd,Dam_Plnd20,runoff,withdrawal,consumptio,HydroPolTe,NumberRipa,Riparian_C,Count_of_T,Count_of_R,Wetlands_k,Events__19,Paired_Int,EstDam24,Pop_2022,PopDen2022
CGNL,Changuinola,NA,3216,68640,21,85275,27,76659,24,88759,28,0,0,1.000000000000000,1230,40,10,3,2,"Costa Rica, Panama",0.000000000000000,0.000000000000000,79.288638017500006,0.000000000000000,0.000000000000000,1.000000000000000,78649.8984375,24
CHIC,Carmen Silva/Chico,SA,2065,3669,2,2537,1,7166,3,7982,4,0,0,0.000000000000000,30,0,0,3,2,"Argentina, Chile",3.000000000000000,0.000000000000000,37.665552571900001,0.000000000000000,0.000000000000000,0.000000000000000,315.0679932,0
CHIR,Chira,SA,17684,1120191,63,1067038,60,968733,55,981035,55,2,0,0.000000000000000,190,1840,650,3,2,"Ecuador, Peru",5.000000000000000,0.000000000000000,69.690366430200001,2.000000000000000,2.000000000000000,5.000000000000000,765511.0000000,43
CHLT,Choluteca,NA,8049,2195718,273,2430187,302,2161561,269,2274135,283,0,0,0.000000000000000,560,290,50,3,2,"Honduras, Nicaragua",0.000000000000000,0.000000000000000,166.978409607999993,0.000000000000000,0.000000000000000,2.000000000000000,2369360.0000000,294
CHUY,Chuy,SA,722,22545,31,21237,29,21128,29,20600,29,0,0,0.000000000000000,0,0,0,2,2,"Brazil, Uruguay",2.000000000000000,0.000000000000000,35.781647759000002,0.000000000000000,0.000000000000000,0.000000000000000,16091.5000000,22
CLDO,Colorado,NA,662500,13757223,21,14265443,22,14265007,22,15842339,24,82,0,0.000000000000000,40,21500,11600,1,2,"Mexico, United States of America",32.000000000000000,1.000000000000000,4769.894894039999599,24.000000000000000,24.000000000000000,221.000000000000000,13580100.0000000,20
CLKT,Chilkat,NA,3967,186,0,211,0,421,0,419,0,0,0,0.000000000000000,1250,0,0,1,2,"Canada, United States of America",2.000000000000000,2.000000000000000,123.940239606000006,0.000000000000000,0.000000000000000,0.000000000000000,647.7780151,0
CLMB,Columbia,NA,654304,7905365,12,8352034,13,7767022,12,8220328,13,125,0,2.000000000000000,360,36080,20790,1,2,"Canada, United States of America",13.000000000000000,1.000000000000000,10445.577180399999634,16.000000000000000,16.000000000000000,243.000000000000000,9024000.0000000,14
CLNG,Chiloango,AF,12996,1720665,132,1847904,142,1215264,94,1386495,107,0,0,0.000000000000000,330,50,10,3,3,"Angola, Congo, Democratic Republic of the Congo",0.000000000000000,0.000000000000000,70.275215781200004,2.000000000000000,11.000000000000000,0.000000000000000,1071070.0000000,82
CNCS,Cancoso/Lauca,SA,32882,71408,2,75826,2,82136,2,102349,3,0,0,0.000000000000000,0,70,30,3,2,"Bolivia, Chile",0.000000000000000,0.000000000000000,2342.418080269999791,8.000000000000000,11.000000000000000,0.000000000000000,66983.7031250,2
CNCT,Connecticut,NA,29131,2505148,86,2591331,89,2305795,79,2306839,79,25,0,0.000000000000000,null,null,null,N/A,2,"Canada, United States of America",2.000000000000000,0.000000000000000,591.757785944000034,0.000000000000000,0.000000000000000,67.000000000000000,2410240.0000000,83
CNGO,Congo/Zaire,AF,3688888,123821151,34,141794097,38,134850972,37,156796380,43,5,13,41.000000000000000,400,2120,410,3,10,"Angola, Burundi, Cameroon, Central African Republic, Congo, Democratic Republic of the Congo, Malawi, Rwanda, United Republic of Tanzania, Zambia",8.000000000000000,2.000000000000000,262526.273524000018369,9.000000000000000,31.000000000000000,47.000000000000000,127891000.0000000,35
COCO,Coco/Segovia,NA,24509,1307928,53,1317882,54,1269660,52,1381075,56,0,0,0.000000000000000,1050,50,20,3,2,"Honduras, Nicaragua",0.000000000000000,0.000000000000000,165.718553164000014,0.000000000000000,0.000000000000000,0.000000000000000,1188920.0000000,49
COMA,Comau,SA,910,76,0,37,0,2611,3,2522,3,0,0,0.000000000000000,0,0,0,3,2,"Argentina, Chile",3.000000000000000,0.000000000000000,5.162510691990000,0.000000000000000,0.000000000000000,0.000000000000000,38.9119987,0
COPR,Copper,NA,66095,1822,0,1354,0,1888,0,1812,0,0,0,0.000000000000000,null,null,null,N/A,2,"Canada, United States of America",2.000000000000000,0.000000000000000,1369.960997899999938,0.000000000000000,0.000000000000000,0.000000000000000,2804.1101074,0
